generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
249,8827,8500.45,0,8636,8636,2528,0.5221648059542796,0.521968633705476,0.5216884635832004
250,8725,8510.17,0,8603,8603,2594,0.5221591041469422,0.5220062969811345,0.5217640866623882
251,8759,8503.32,0,8585,8585,2630,0.5221639958482064,0.5220530598381476,0.5217378462992498
252,8867,8508.03,0,8600,8600,2600,0.5221951152885207,0.5220277352261956,0.521759092905338
253,8762,8502.74,0,8615,8615,2570,0.5223023856467702,0.5220597290769277,0.5217519161779419
254,8784,8508.35,0,8598,8598,2604,0.5223285486443381,0.5221361916377396,0.521768771304375
255,8769,8494.85,0,8592,8592,2616,0.5223493155236576,0.5221567754020467,0.5220481957735247
256,8749,8513.59,0,8628,8628,2544,0.5223844010450605,0.5221956509597302,0.5219996400623065
257,8838,8514.0,0,8613,8613,2574,0.5223852148576751,0.5221826279935217,0.5219833998903767
258,8749,8507.75,0,8585,8585,2630,0.5223911539701014,0.5221803792856425,0.5219744693428904
259,8705,8509.92,0,8606,8606,2588,0.522401136874821,0.5222257289494133,0.5220146812252076
260,8751,8501.6,0,8624,8624,2552,0.5224324307808881,0.5222139523893908,0.5219527397385837
261,8864,8512.67,0,8613,8613,2574,0.5224279760237976,0.5221983900881049,0.5219531595586236
262,8811,8514.96,0,8587,8587,2626,0.5222406170975312,0.5221578098374178,0.5220617218816138
263,8767,8502.82,0,8606,8606,2588,0.5222308813815991,0.5221595943485895,0.5220436018880995
264,8754,8510.39,0,8629,8629,2542,0.5223054778168978,0.5221694702737406,0.522041667920516
265,8827,8516.28,0,8560,8560,2680,0.5223385417291234,0.522211939337978,0.5220497415788274
266,8796,8515.98,0,8630,8630,2540,0.5223494555250913,0.5222187476977542,0.522127444362808
267,8716,8490.57,0,8576,8576,2648,0.5223940108072079,0.5222178679965404,0.522077610353337
268,8806,8494.58,0,8639,8639,2522,0.5224253886942206,0.5222691501198644,0.522150679164962
269,8748,8500.62,0,8650,8650,2500,0.5224368440742709,0.5222696359304546,0.5221661054994389
270,8767,8487.6,0,8588,8588,2624,0.5223805348101328,0.5222735413957011,0.5221647431785322
271,8744,8513.71,0,8604,8604,2592,0.5224282296650717,0.5222939925571504,0.5221868452325109
272,8804,8488.34,0,8566,8566,2668,0.5224074171442592,0.5222843822843823,0.5221610747926537
273,8860,8507.59,0,8592,8592,2616,0.5224216812768484,0.5222607170436597,0.5221675068006224
274,8829,8494.16,0,8588,8588,2624,0.5224058769513314,0.5223123870281764,0.5221951573147745
275,8841,8504.78,0,8610,8610,2580,0.5224412315373413,0.5223404814737765,0.5221966037183429
276,8773,8507.81,0,8617,8617,2566,0.5224974426000457,0.5223847346733536,0.5222508190397227
277,8752,8497.75,0,8553,8553,2694,0.5225331696365396,0.5223939795531994,0.5222348437039842
278,8874,8496.05,0,8601,8601,2598,0.522577215276706,0.5224272340457967,0.5223142574585699
279,8777,8498.47,0,8566,8566,2668,0.522627591706539,0.5224559789625579,0.5222962709804815
280,8745,8501.74,0,8618,8618,2564,0.5226274734609628,0.5224531416430651,0.5223181430336328
281,8820,8498.05,0,8611,8611,2578,0.5226707161197642,0.5224970967608147,0.5223417451860901
282,8760,8503.32,0,8531,8531,2738,0.5226582356952452,0.5225156249119426,0.5224177801823329
283,8780,8499.69,0,8617,8617,2566,0.5227029374546054,0.5225316452141879,0.5224286976510846
